funcname,n,bins,sum,avg_free_space
BFD,10,6,5.23541,0.0901624

BFD,10,7,5.3074,0.137199

BFD,10,6,5.31622,0.0874717

BFD,10,7,5.12916,0.0418626

BFD,10,6,4.92972,0.138489

BFD,10,6,4.98863,0.114461

BFD,10,6,5.50281,0.070935

BFD,10,7,6.02124,0.0865783

BFD,10,6,4.80809,0.1725

BFD,10,7,5.33327,0.117717

BFD,10,5,4.74301,0.0513981

BFD,10,4,3.35439,0.108016

BFD,10,5,4.48816,0.0415886

BFD,10,5,4.09324,0.181352

BFD,10,7,5.54892,0.0483126

BFD,10,6,4.97659,0.0197434

BFD,10,5,4.2985,0.1403

BFD,10,9,7.0361,0.218212

BFD,10,5,4.80437,0.0234195

BFD,10,4,3.59735,0.0737272

BFD,10,6,5.23719,0.0793849

BFD,10,7,5.73439,0.178503

BFD,10,6,4.99683,0.102876

BFD,10,4,3.70351,0.0430919

BFD,10,7,5.14578,0.253856

BFD,10,5,3.89688,0.207784

BFD,10,6,4.96329,0.171586

BFD,10,6,5.78158,0.0255352

BFD,10,6,5.15956,0.0376017

BFD,10,5,4.07188,0.157627

BFD,10,6,4.27486,0.281268

BFD,10,7,5.37561,0.143088

BFD,10,5,3.88912,0.222175

BFD,10,7,5.83169,0.0878982

BFD,10,6,5.0702,0.10338

BFD,10,6,5.12075,0.122389

BFD,10,6,5.47823,0.0413365

BFD,10,5,3.9872,0.140066

BFD,10,6,4.59351,0.0800629

BFD,10,4,3.53123,0.088618

BFD,10,7,5.30873,0.24161

BFD,10,5,4.19736,0.131259

BFD,10,8,6.01151,0.248561

BFD,10,8,7.27711,0.0903613

BFD,10,8,6.4404,0.19495

BFD,10,6,5.13191,0.0922385

BFD,10,6,4.85066,0.191557

BFD,10,7,6.35638,0.0663067

BFD,10,8,6.80913,0.148858

BFD,10,5,4.44581,0.00371642

