funcname,n,bins,sum,avg_free_space
BF,10,6,5.23541,0.11477

BF,10,6,5.3074,0.115434

BF,10,6,5.31622,0.0947316

BF,10,7,5.12916,0.267264

BF,10,6,4.92972,0.178379

BF,10,6,4.98863,0.168561

BF,10,6,5.50281,0.0683153

BF,10,7,6.02124,0.139823

BF,10,6,4.80809,0.198651

BF,10,6,5.33327,0.0979963

BF,10,6,4.74301,0.209498

BF,10,4,3.35439,0.161404

BF,10,5,4.48816,0.0858362

BF,10,5,4.09324,0.181352

BF,10,7,5.54892,0.0917027

BF,10,6,4.97659,0.170568

BF,10,5,4.2985,0.1403

BF,10,9,7.0361,0.218212

BF,10,6,4.80437,0.199271

BF,10,4,3.59735,0.0860514

BF,10,7,5.23719,0.251831

BF,10,7,5.73439,0.180801

BF,10,6,4.99683,0.0260024

BF,10,5,3.70351,0.259298

BF,10,7,5.14578,0.264889

BF,10,5,3.89688,0.203263

BF,10,7,4.96329,0.290959

BF,10,6,5.78158,0.0364027

BF,10,6,5.15956,0.123614

BF,10,5,4.07188,0.182814

BF,10,6,4.27486,0.287524

BF,10,7,5.37561,0.232055

BF,10,5,3.88912,0.222175

BF,10,7,5.83169,0.166901

BF,10,6,5.0702,0.152237

BF,10,6,5.12075,0.141335

BF,10,7,5.47823,0.217396

BF,10,5,3.9872,0.0983615

BF,10,7,4.59351,0.343785

BF,10,4,3.53123,0.0115597

BF,10,7,5.30873,0.24161

BF,10,5,4.19736,0.15739

BF,10,8,6.01151,0.038809

BF,10,8,7.27711,0.0903613

BF,10,8,6.4404,0.19495

BF,10,6,5.13191,0.143051

BF,10,6,4.85066,0.191557

BF,10,8,6.35638,0.205453

BF,10,8,6.80913,0.129413

BF,10,6,4.44581,0.259031

