funcname,n,bins,sum,avg_free_space
FFD,10,6,5.23541,0.127432

FFD,10,6,5.3074,0.115434

FFD,10,6,5.31622,0.113963

FFD,10,7,5.12916,0.267264

FFD,10,6,4.92972,0.178379

FFD,10,6,4.98863,0.168561

FFD,10,6,5.50281,0.0828652

FFD,10,7,6.02124,0.139823

FFD,10,6,4.80809,0.198651

FFD,10,6,5.33327,0.111122

FFD,10,5,4.74301,0.0513981

FFD,10,4,3.35439,0.161404

FFD,10,5,4.48816,0.102368

FFD,10,5,4.09324,0.181352

FFD,10,7,5.54892,0.207296

FFD,10,6,4.97659,0.170568

FFD,10,5,4.2985,0.1403

FFD,10,9,7.0361,0.218212

FFD,10,5,4.80437,0.0391255

FFD,10,4,3.59735,0.100661

FFD,10,6,5.23719,0.127136

FFD,10,7,5.73439,0.180801

FFD,10,6,4.99683,0.167195

FFD,10,4,3.70351,0.0741228

FFD,10,7,5.14578,0.264889

FFD,10,5,3.89688,0.220624

FFD,10,6,4.96329,0.172785

FFD,10,6,5.78158,0.0364027

FFD,10,6,5.15956,0.140073

FFD,10,5,4.07188,0.185624

FFD,10,6,4.27486,0.287524

FFD,10,6,5.37561,0.104064

FFD,10,5,3.88912,0.222175

FFD,10,7,5.83169,0.166901

FFD,10,6,5.0702,0.154967

FFD,10,6,5.12075,0.146542

FFD,10,6,5.47823,0.0869622

FFD,10,5,3.9872,0.202561

FFD,10,6,4.59351,0.234415

FFD,10,4,3.53123,0.117192

FFD,10,7,5.30873,0.24161

FFD,10,5,4.19736,0.160528

FFD,10,8,6.01151,0.248561

FFD,10,8,7.27711,0.0903613

FFD,10,8,6.4404,0.19495

FFD,10,6,5.13191,0.144682

FFD,10,6,4.85066,0.191557

FFD,10,7,6.35638,0.0919462

FFD,10,8,6.80913,0.148858

FFD,10,5,4.44581,0.110837

