funcname,n,bins,sum,avg_free_space
NF,10,7,5.23541,0.252085

NF,10,7,5.3074,0.241801

NF,10,7,5.31622,0.24054

NF,10,7,5.12916,0.267264

NF,10,7,4.92972,0.295754

NF,10,7,4.98863,0.287338

NF,10,7,5.50281,0.213884

NF,10,7,6.02124,0.139823

NF,10,8,4.80809,0.398988

NF,10,7,5.33327,0.238104

NF,10,6,4.74301,0.209498

NF,10,4,3.35439,0.161404

NF,10,6,4.48816,0.251974

NF,10,5,4.09324,0.181352

NF,10,8,5.54892,0.306384

NF,10,7,4.97659,0.289058

NF,10,5,4.2985,0.1403

NF,10,10,7.0361,0.29639

NF,10,6,4.80437,0.199271

NF,10,5,3.59735,0.280529

NF,10,7,5.23719,0.251831

NF,10,7,5.73439,0.180801

NF,10,7,4.99683,0.286167

NF,10,5,3.70351,0.259298

NF,10,7,5.14578,0.264889

NF,10,6,3.89688,0.35052

NF,10,8,4.96329,0.379589

NF,10,7,5.78158,0.174059

NF,10,7,5.15956,0.26292

NF,10,5,4.07188,0.185624

NF,10,7,4.27486,0.389306

NF,10,7,5.37561,0.232055

NF,10,5,3.88912,0.222175

NF,10,9,5.83169,0.352034

NF,10,7,5.0702,0.275686

NF,10,7,5.12075,0.268464

NF,10,7,5.47823,0.217396

NF,10,7,3.9872,0.430401

NF,10,7,4.59351,0.343785

NF,10,5,3.53123,0.293753

NF,10,7,5.30873,0.24161

NF,10,6,4.19736,0.30044

NF,10,8,6.01151,0.248561

NF,10,9,7.27711,0.191432

NF,10,8,6.4404,0.19495

NF,10,7,5.13191,0.26687

NF,10,7,4.85066,0.307049

NF,10,8,6.35638,0.205453

NF,10,10,6.80913,0.319087

NF,10,6,4.44581,0.259031

